ddEngine2

#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, in	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, R	     Twi, R	     Twc, R	      Tc, R	    pc, psi	   wc, ft/s	 rho, lbm/f	                       Comments	 
        in	           	  coeff., B	  flux, Btu	 flux, Btu/	  flux, Btu	           	           	           	           	           	           	        t^3	                               	 
          	           	 tu/(in^2-s	  /(in^2-s)	   (in^2-s)	  /(in^2-s)	           	           	           	           	           	           	           	                               	 
          	           	        -R)	           	           	           	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	     2.5110	     0.0000	     0.0000	     0.7891	     0.7891	   636.2800	   459.0500	   441.3900	   357.4000	  1500.1770	    29.4300	    16.8500	 regenerative cooling, opposite flow; film coolant injection	 
    0.2220	     2.5110	     0.0000	     0.0647	     0.8514	     0.9160	   678.3800	   475.2100	   454.7000	   356.8700	  1500.2280	    29.3300	    16.9000	 regenerative cooling, opposite flow	 
    0.4440	     2.5110	     0.0002	     1.2333	     0.8985	     2.1318	  1109.1600	   636.9300	   589.2100	   355.9200	  1500.2800	    29.1600	    17.0000	 regenerative cooling, opposite flow	 
    0.6660	     2.5110	     0.0003	     1.5583	     0.8803	     2.4386	  1218.9100	   678.5200	   623.9300	   354.4700	  1500.3310	    28.8900	    17.1600	 regenerative cooling, opposite flow	 
    0.8880	     2.5110	     0.0003	     1.6747	     0.8565	     2.5312	  1251.7300	   691.1200	   634.4600	   352.8700	  1500.3820	    28.6100	    17.3300	 regenerative cooling, opposite flow	 
    1.1100	     2.5110	     0.0004	     1.8354	     0.8345	     2.6699	  1301.7100	   710.3400	   650.5700	   351.1700	  1500.4330	    28.3100	    17.5100	 regenerative cooling, opposite flow	 
    1.3320	     2.5110	     0.0004	     1.9377	     0.8218	     2.7595	  1334.2200	   722.9800	   661.2100	   349.3600	  1500.4830	    28.0000	    17.7000	 regenerative cooling, opposite flow	 
